퀘스트 이름,주요 목표,보상 아이템,등대지기 평판,추가 잠금 해제
Information Source,"• 삼림 Bridge V-Ex 탈출
• 세관 Dorms V-Ex 탈출
• 인터체인지 Power Station V-Ex 탈출
• 타르코프 시내 Primorsky Ave Taxi V-Ex 탈출
• 그라운드 제로 Police Cordon V-Ex 탈출
• 타르코프 시내 Patrol-A 장갑차 1 마킹
• 타르코프 시내 Patrol-A 장갑차 2 마킹","Advanced Electronic Materials textbook x 1",0.01,"작업대 레벨 2 Virtex 프로그래밍 가능한 프로세서 제작"
Missing Informant,"• 타르코프 시내 정보 제공자의 백업 은신처 찾기
• 정보 제공자의 일기 입수
• 정보를 등대지기에게 전달","Microcontroller board x 1","0.01","메카닉 Microcontroller board 구매, 작업대 레벨 2 SG-C10 COFDM 군용 무선 신호 송신기 제작"
Snatch,"• 등대에서 탈출
• 등대 로그 기지에서 위조된 정보 입수
• 리저브 수리소에서 원본 정보 입수
• BMP-2 아래에 위조된 정보 숨기기
• 원본 정보를 등대지기에게 가져가기","VPX 플래시 저장소 모듈 x 3",0.01,"래그맨 Atomic Defense CQCM up armored ballistic mask (Black) 구매, 작업대 레벨 2 UHF RFID 리더기 제작"
Return the Favor,"• 삼림 산악 지역 주변 PMC 요원 처치 [x 15]
• TerraGroup 블루 폴더 자료를 삼림 USEC 캠프 내 검은 SUV에 숨기기
• TerraGroup 블루 폴더 자료를 삼림 USEC 캠프 내 위성 안테나 근처 나무 상자에 숨기기","Silicon Optoelectronic Integrated Circuits textbook x 1",0.03,"작업대 레벨 2 VPX 플래시 저장소 모듈 제작"
Payback,"• 글루하 찾아서 제거 [x 1]
• 글루하 경호원 제거 [x 6]
• 레이더 기지에서 노란 신호탄 발사
• 리저브에서 Cliff Descent 통해 탈출","Microcontroller board x 1, LEDX 피부 트랜스일루미네이터 x 3",0.03,"래그맨 DevTac Ronin Respirator 구매"
Provocation,"• 인터체인지에서 ASh-12를 사용하여 Kiba Arms 상점 주변 대상 처치 [x 20]
• Kiba Arms 상점 안에 Salty Dog 소고기 소시지 숨기기
• Moonshine 문샤인 '맹렬한 도끼런' 밀주를 비밀 안전한 은신처에 숨기기
• Toilet paper 화장지를 비밀 컨테이너 은신처에 숨기기
• 해당 위치에서 생존하고 탈출","Virtex 프로그래밍 가능한 프로세서 x 2",0.03,"작업대 레벨 3 FLIR RS-32 2.25-9x 35mm 60Hz 열화상 소총조준경 제작"
Following the Bread Crumbs,"• 레이더 처치 [x 20]
• 연구소의 무기 테스트 지역 조사
• 연구소의 인간 실험실 조사
• 연구소의 매니저 사무실에서 보안 테이프 획득
• 테이프를 등대지기에게 가져가기","Far-forward GPS Signal Amplifier Unit x 1",0.04,"메카닉 Far-forward GPS Signal Amplifier Unit 구매"
Spotter,"• 건설 현장이 내려다보이는 Concordia에서 좋은 저격 위치 찾기
• 빨간 테이블 근처에 AI .338 LM 전술 소음 조절기 숨기기
• 프리모르스키에서 영화관 내려다볼 수 있는 좋은 저격 위치 찾기
• Makhors의 침대 아래에 Trijicon REAP-IR 열화상 조준기 숨기기
• 해당 위치에서 생존하고 탈출","Microcontroller board x 1",0.04,"작업대 레벨 3 Microcontroller board 제작"
Make an Impression,"• 필요한 볼트액션 라이플 기술 레벨 도달
• 350미터 이상 거리에서 스나이퍼 스캐브 처치 [x 10]","AESA 위상 배열 부품 x 2",0.04,"작업대 레벨 3 Trijicon REAP-IR 열화상 조준경 제작"
Trouble in the Big City,"• 타르코프 거리에서 화물을 실은 운송 수단 찾기
• 적대적인 PMC들로부터 지역 확보 [x 50]
• MS2000 마커로 화물 지역 표시
• 작업 완료 확인 위해 장갑차 근처에서 노란색 신호탄 발사
• 해당 위치에서 생존하고 탈출","Advanced current converter x 1",0.05,"피스키퍼 SIG MCX-SPEAR 6.8x51 assault rifle 기본 구매, 피스키퍼 AR-10 7.62x51 Lancer L7AWM 25-round magazine 구매, 피스키퍼 6.8x51mm SIG Hybrid 구매, 메카닉 Advanced current converter 구매"
Simple Side Job,"• 리저브 군 병원 옥상에서 등대지기의 화물 상자 찾아 얻기
• 삼림에 있는 스캐브 집에 화물 숨기기","달러 x 4000, SG-C10 COFDM 군용 무선 신호 송신기 x 1, UHF RFID 리더기 x 1, Virtex 프로그래밍 가능한 프로세서 x 1",0.02,"N/A"
Order From Outside,"• 리저브 전기기계 창고에서 electronic jammer 찾아 확보
• 삼림의 지정된 위치에 장치 은닉","달러 x 4000, SG-C10 COFDM 군용 무선 신호 송신기 x 1, UHF RFID 리더기 x 1, Virtex 프로그래밍 가능한 프로세서 x 1",0.02,"N/A"
Keeper's Word,"• 미궁 내부의 첫 번째 특별한 장소에 컬티스트 나이프 은닉
• 미궁 내부의 두 번째 특별한 장소에 컬티스트 나이프 은닉
• 미궁 내부의 세 번째 특별한 장소에 컬티스트 나이프 은닉","달러 x 4200, Virtex 프로그래밍 가능한 프로세서 x 1, S I C C 다용도 파우치 x 1, Sacred Amulet x 1",0.03,"N/A"
Surprise Gift [PVP ZONE],"• 세관의 옛 챔피언 은신처로 돌아가기
• 레프의 불리한 정보 찾아 획득
• 찾아낸 정보 건네기","달러 x 1000",0.01,"N/A"